Title,Authers,Publish Year,Journal,IF,IF-5year,Citation Frequency
Metabolite characterization of powdered fruits and leaves from Adansonia digitata L. (baobab): A multi-methodological approach,"Sokeng, AJT (Sokeng, Arold Jorel Tsetegho)[ 1 ] ; Sobolev, AP (Sobolev, Anatoly P.)[ 2 ] ; Di Lorenzo, A (Di Lorenzo, Arianna)[ 1 ] ; Xiao, JB (Xiao, Jianbo)[ 3 ] ; Mannina, L (Mannina, Luisa)[ 2,4 ] ; Capitani, D (Capitani, Donatella)[ 2 ] ; Daglia, M (Daglia, Maria)[ 1 ]",2019,FOOD CHEMISTRY,  4.946  ,4.879,0
"Report on the 2nd International Symposium on Phytochemicals in Medicine and Food (4-7 April 2017, FuZhou, China)","Xiao, JB (Xiao, Jianbo)[ 1 ] ; Sarker, SD (Sarker, Satyajit D.)[ 2 ] ; Nahar, L (Nahar, Lutfun)[ 2 ] ; Cao, H (Cao, Hui)[ 3 ]",2019,FOOD CHEMISTRY,  4.946  ,4.879,0
"A review of microencapsulation methods for food antioxidants: Principles, advantages, drawbacks and applications","Ozkan, G (Ozkan, Gulay)[ 1 ] ; Franco, P (Franco, Paola)[ 2 ] ; De Marco, I (De Marco, Iolanda)[ 2 ] ; Xiao, JB (Xiao, Jianbo)[ 3 ] ; Capanoglu, E (Capanoglu, Esra)[ 1 ]",2019,FOOD CHEMISTRY,  4.946  ,4.879,0
"Brij-grafted-chitosan copolymers with function of P-glycoprotein modulation: Synthesis, characterization and in vitro investigations","Xiong, W (Xiong, Wei)[ 1 ] ; Zhao, GD (Zhao, Guan Ding)[ 1 ] ; Yin, XQ (Yin, Xunqing)[ 2 ] ; Gang, LHK (Gang, Ke Linghu)[ 1 ] ; Chu, JMT (Chu, John M. T.)[ 3 ] ; Wong, GTC (Wong, Gordon T. C.)[ 3 ] ; Li, HF (Li, Haifeng)[ 2 ] ; Yu, H (Yu, Hua)[ 1,4,5 ] ; Wang, YT (Wang, Yi Tao)[ 1 ]",2019,CARBOHYDRATE POLYMERS,  5.158  ,5.326,0
"Hepatoprotective activity of Ganoderma lucidum triterpenoids in alcohol-induced liver injury in mice, an iTRAQ-based proteomic analysis","Zhao, C (Zhao, Chao)[ 1 ] ; Fan, JL (Fan, Jinlin)[ 2,3 ] ; Liu, YY (Liu, Yuanyuan)[ 1 ] ; Guo, WL (Guo, Weiling)[ 1 ] ; Cao, H (Cao, Hui)[ 4,5 ] ; Xiao, JB (Xiao, Jianbo)[ 4,5 ] ; Wang, Y (Wang, Ying)[ 4,5 ] ; Liu, B (Liu, Bin)[ 1,3 ]",2019,FOOD CHEMISTRY,  4.946  ,4.879,0
Rapid and visual detection of aflatoxin B1 in foodstuffs using aptamer/G-quadruplex DNAzyme probe with low background noise,"Wang, LM (Wang, Lumin)[ 1 ] ; Zhu, FW (Zhu, Fawei)[ 1 ] ; Chen, M (Chen, Miao)[ 1 ] ; Zhu, YQ (Zhu, Yuqiu)[ 1 ] ; Xiao, JB (Xiao, Jianbo)[ 3 ] ; Yang, H (Yang, Hua)[ 1 ] ; Chen, XQ (Chen, Xiaoqing)[ 1,2 ]",2019,FOOD CHEMISTRY,  4.946  ,4.879,1
"Identification and characterization of antioxidant peptides from hydrolysate of blue-spotted stingray and their stability against thermal, pH and simulated gastrointestinal digestion treatments","Wong, FC (Wong, Fai-Chu)[ 1,2 ] ; Xiao, J (Xiao, Jianbo)[ 3 ] ; Ong, MGL (Ong, Michelle G-Ling)[ 1 ] ; Pang, MJ (Pang, Mei-Jing)[ 1 ] ; Wong, SJ (Wong, Shao-Jun)[ 1 ] ; Teh, LK (Teh, Lai-Kuan)[ 2,4 ] ; Chai, TT (Chai, Tsun-Thai)[ 1,2 ]",2019,FOOD CHEMISTRY,  4.946  ,4.879,0
Plasma protein binding of dietary polyphenols to human serum albumin: A high performance affinity chromatography approach,"Cao, H (Cao, Hui)[ 1,2 ] ; Liu, XJ (Liu, Xiaojuan)[ 2 ] ; Ulrih, NP (Ulrih, Natasa Poklar)[ 3 ] ; Sengupta, PK (Sengupta, Pradeep K.)[ 4 ] ; Xiao, JB (Xiao, Jianbo)[ 2 ]",2019,FOOD CHEMISTRY,  4.946  ,4.879,0
Myricanol mitigates lipid accumulation in 3T3-L1 adipocytes and high fat diet-fed zebrafish via activating AMP-activated protein kinase,"Shen, SN (Shen, Shengnan)[ 1 ] ; Liao, QW (Liao, Qiwen)[ 1 ] ; Feng, Y (Feng, Yu)[ 1 ] ; Liu, JX (Liu, Jingxin)[ 1 ] ; Pan, RL (Pan, Ruile)[ 2 ] ; Lee, SMY (Lee, Simon Ming-Yuen)[ 1 ] ; Lin, LG (Lin, Ligen)[ 1 ]",2019,FOOD CHEMISTRY,  4.946  ,4.879,0
Stereoselective interactions of lactic acid enantiomers with HSA: Spectroscopy and docking application,"Mu, HT (Mu, Hongtao)[ 1 ] ; Chen, SH (Chen, Shaohuan)[ 1 ] ; Liu, FY (Liu, Fengyin)[ 1 ] ; Xiao, JB (Xiao, Jianbo)[ 2 ] ; Huang, H (Huang, Hui)[ 3 ] ; Zhang, YH (Zhang, Yuhua)[ 1 ] ; Sun, YM (Sun, Yuanming)[ 4 ] ; Gao, XY (Gao, Xiangyang)[ 5 ] ; Lei, HT (Lei, Hongtao)[ 4 ] ; Yuan, XW (Yuan, Xuewen)[ 1 ]",2019,FOOD CHEMISTRY,  4.946  ,4.879,0
